"start_prevalence","treatment_cov","delayMos","vector_density_increase","save_location","which_prevalence","itn_vector_compact","irs_vector_compact","larvicide_vector_compact","t_itn_compact","t_irs_compact","t_larvicide_compact","surv_bioassay","seasonality","burn_in_time","introduction_time","after_time","LHC_on","LHC_row_run","LHC_total_rows","seed","location","net_type","save_cols","intervention_decoded","save_name_base"
0,0.4,8,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.4","0;0;0","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,9125,TRUE,"1;2;3;4;5;6;7;8;9;10",10,1,12,"Pyrethroid","Incidence;Prevalence","ITN 0%/IRS 0%/Larvicide 0%","F4SL5ifhe3"
0,0.4,8,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.8","0;0;0","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,9125,TRUE,"1;2;3;4;5;6;7;8;9;10",10,1,12,"Pyrethroid","Incidence;Prevalence","ITN 80%/IRS 0%/Larvicide 0%","qXpzllMORh"
0,0.4,8,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.4","0;0;0","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,9125,TRUE,"1;2;3;4;5;6;7;8;9;10",10,1,12,"PBO-pyrethroid","Incidence;Prevalence","ITN 0%/IRS 0%/Larvicide 0%","NbyGQVwzFc"
0,0.4,8,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.8","0;0;0","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,9125,TRUE,"1;2;3;4;5;6;7;8;9;10",10,1,12,"PBO-pyrethroid","Incidence;Prevalence","ITN 80%/IRS 0%/Larvicide 0%","0tlbQJP718"
0.2,0.4,8,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.4","0;0;0","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,9125,TRUE,"1;2;3;4;5;6;7;8;9;10",10,1,64,"Pyrethroid","Incidence;Prevalence","ITN 0%/IRS 0%/Larvicide 0%","iwBqZkj016"
0.2,0.4,8,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.8","0;0;0","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,9125,TRUE,"1;2;3;4;5;6;7;8;9;10",10,1,64,"Pyrethroid","Incidence;Prevalence","ITN 80%/IRS 0%/Larvicide 0%","Cy5VcOHw38"
0.2,0.4,8,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.4","0;0;0","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,9125,TRUE,"1;2;3;4;5;6;7;8;9;10",10,1,64,"PBO-pyrethroid","Incidence;Prevalence","ITN 0%/IRS 0%/Larvicide 0%","UzAH6cZQ5z"
0.2,0.4,8,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.8","0;0;0","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,9125,TRUE,"1;2;3;4;5;6;7;8;9;10",10,1,64,"PBO-pyrethroid","Incidence;Prevalence","ITN 80%/IRS 0%/Larvicide 0%","3BDsmnpII9"
