"ERG_d_ITN0","ERG_r_ITN0","itn_half_life","type","resistance_level"
0.388564650655371,0.532051761101946,2.64,"Pyrethroid",0
0.387828422727834,0.53227105977581,2.63137758181666,"Pyrethroid",0.01
0.387083589831792,0.532490631531643,2.62269760551274,"Pyrethroid",0.02
0.386329968864325,0.532710445450214,2.61395919711694,"Pyrethroid",0.03
0.385567371007917,0.532930468726077,2.60516146075646,"Pyrethroid",0.04
0.38479560149373,0.5331506665575,2.59630347787731,"Pyrethroid",0.05
0.38401445935258,0.533371002029238,2.58738430642841,"Pyrethroid",0.06
0.38322373715286,0.533591435987651,2.57840298000727,"Pyrethroid",0.07
0.382423220724569,0.533811926907577,2.56935850696512,"Pyrethroid",0.08
0.381612688868569,0.534032430750351,2.56024986946894,"Pyrethroid",0.09
0.380791913050099,0.534252900812301,2.55107602251804,"Pyrethroid",0.1
0.37996065707554,0.534473287562986,2.54183589291222,"Pyrethroid",0.11
0.379118676751298,0.534693538472391,2.53252837816866,"Pyrethroid",0.12
0.378265719523631,0.534913597826212,2.52315234538442,"Pyrethroid",0.13
0.377401524098122,0.535133406528299,2.5137066300411,"Pyrethroid",0.14
0.376525820037405,0.53535290188923,2.50419003474793,"Pyrethroid",0.15
0.375638327335653,0.535572017399911,2.49460132791954,"Pyrethroid",0.16
0.374738755968194,0.535790682488974,2.484939242384,"Pyrethroid",0.17
0.373826805414495,0.536008822262652,2.47520247391666,"Pyrethroid",0.18
0.372902164152616,0.536226357225687,2.46538967969489,"Pyrethroid",0.19
0.37196450912307,0.536443202981657,2.45549947666828,"Pyrethroid",0.2
0.371013505159832,0.53665926991101,2.44553043983875,"Pyrethroid",0.21
0.37004880438608,0.536874462824869,2.4354811004442,"Pyrethroid",0.22
0.369070045572005,0.537088680592529,2.42534994403901,"Pyrethroid",0.23
0.368076853451818,0.537301815740329,2.41513540846422,"Pyrethroid",0.24
0.367068837996798,0.537513754019374,2.4048358816993,"Pyrethroid",0.25
0.36604559364097,0.537724373939303,2.39444969958712,"Pyrethroid",0.26
0.365006698455658,0.537933546265032,2.38397514342254,"Pyrethroid",0.27
0.363951713268817,0.538141133473068,2.37341043739481,"Pyrethroid",0.28
0.362880180724684,0.53834698916364,2.36275374587232,"Pyrethroid",0.29
0.361791624278813,0.538550957424481,2.35200317051791,"Pyrethroid",0.3
0.360685547123133,0.538752872141669,2.34115674722148,"Pyrethroid",0.31
0.359561431035092,0.538952556252396,2.33021244283535,"Pyrethroid",0.32
0.358418735144394,0.539149820934,2.31916815169675,"Pyrethroid",0.33
0.357256894610153,0.539344464722948,2.30802169192001,"Pyrethroid",0.34
0.356075319200557,0.539536272556712,2.29677080143946,"Pyrethroid",0.35
0.354873391766323,0.539725014730704,2.28541313378218,"Pyrethroid",0.36
0.353650466598271,0.539910445761506,2.27394625354748,"Pyrethroid",0.37
0.352405867658329,0.540092303146553,2.26236763156784,"Pyrethroid",0.38
0.351138886672104,0.540270306009296,2.25067463972322,"Pyrethroid",0.39
0.349848781069833,0.540444153617477,2.23886454537772,"Pyrethroid",0.4
0.348534771761037,0.540613523760649,2.22693450540433,"Pyrethroid",0.41
0.347196040726533,0.540778070971271,2.21488155975955,"Pyrethroid",0.42
0.345831728409531,0.540937424571762,2.20270262456566,"Pyrethroid",0.43
0.344440930885391,0.541091186527523,2.19039448465325,"Pyrethroid",0.44
0.343022696787131,0.541238929083351,2.17795378551164,"Pyrethroid",0.45
0.341576023960993,0.541380192157574,2.16537702458813,"Pyrethroid",0.46
0.340099855823128,0.541514480464737,2.15266054187037,"Pyrethroid",0.47
0.338593077384794,0.541641260333586,2.13980050967776,"Pyrethroid",0.48
0.33705451090922,0.54175995618237,2.12679292157885,"Pyrethroid",0.49
0.335482911158434,0.541869946607978,2.11363358034098,"Pyrethroid",0.5
0.333876960182714,0.541970560039022,2.10031808480615,"Pyrethroid",0.51
0.332235261598811,0.542061069895471,2.08684181557345,"Pyrethroid",0.52
0.330556334295569,0.542140689188648,2.07319991935174,"Pyrethroid",0.53
0.328838605496733,0.542208564485055,2.05938729182778,"Pyrethroid",0.54
0.327080403100522,0.542263769145286,2.04539855887305,"Pyrethroid",0.55
0.325279947203483,0.542305295734842,2.03122805588693,"Pyrethroid",0.56
0.323435340702071,0.542332047486491,2.01686980504422,"Pyrethroid",0.57
0.321544558848707,0.542342828673381,2.00231749017965,"Pyrethroid",0.58
0.319605437619438,0.542336333727634,1.98756442900099,"Pyrethroid",0.59
0.317615660726897,0.542311134909787,1.97260354227318,"Pyrethroid",0.6
0.31557274508443,0.542265668299011,1.95742731955786,"Pyrethroid",0.61
0.313474024493907,0.542198217831203,1.94202778102349,"Pyrethroid",0.62
0.311316631289663,0.542106897059873,1.92639643475782,"Pyrethroid",0.63
0.309097475622626,0.541989628251115,1.91052422891504,"Pyrethroid",0.64
0.306813222010033,0.541844118345758,1.89440149790856,"Pyrethroid",0.65
0.304460262704609,0.541667831225405,1.87801790171389,"Pyrethroid",0.66
0.302034687349469,0.541457955599448,1.8613623571664,"Pyrethroid",0.67
0.299532248277082,0.541211367681026,1.84442295991867,"Pyrethroid",0.68
0.296948320676893,0.540924587632685,1.82718689544939,"Pyrethroid",0.69
0.294277856689524,0.540593728526201,1.80964033717766,"Pyrethroid",0.7
0.291515332276303,0.540214436260595,1.79176832931234,"Pyrethroid",0.71
0.288654685448653,0.539781818497754,1.77355465153213,"Pyrethroid",0.72
0.285689244105614,0.539290360178942,1.75498166191386,"Pyrethroid",0.73
