"number_of_rows","row","prop_cases_stephensi","message","likelihood","mu0","Q0","chi","bites_Bed","bites_Indoors","delayMos","data_model_difference_1","data_model_difference_2","data_model_difference_3","data_model_difference_4","data_model_difference_5","data_model_difference_6","data_model_difference_7","data_model_difference_8","data_model_difference_9","data_model_difference_10","year1","year2","year3","year4","year5","year6","year7","year8","year9","year10"
200,1,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",94.3851531434267,0.12819954511231,0.22111208953755,0.484916882812395,0.502283812680135,0.509728525550139,10,-875.058633858527,-83.247929691249,-13.740266940282,828.833024473059,6928.66194714437,14909.9259866311,17372.3928492266,24011.2245880777,21512.0368326758,24733.0685578286,0.1,0.1,0.1,18.79988,10.59996,4,7.09996,3.25,3.75,4.25
200,2,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",94.3012372265646,0.133148968721862,0.301273844511714,0.544218206523801,0.512830413160709,0.393891451270123,10,-1125.45325257825,-149.183461066228,-26.0120299979893,432.574086342252,3954.23180062789,-1572.95518794112,-59580.8402057197,-23248.8764507005,-107711.663587433,-51802.3241547309,0.001,0.00256980522630011,0.0349614923858932,11.7318640696467,7.29190243201608,2.44602124462294,5.82942804473185,6.5777338334475,4.86530628210811,2.41591738511738
200,3,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",92.958140749955,0.135512842279431,0.16953298202157,0.496971297192504,0.457940827680825,0.580052964548051,10,-593.576472619321,-41.1777823135458,-6.53735429701455,-458.435746575336,-677.46941090325,-18144.5206001481,-5386.50545067004,-13727.0655534297,-22962.1788631338,-25270.1255339529,0.100987035028859,0.0995923136385559,0.102161746323223,36.7987738864903,14.2011570666847,7.60088320763501,7.10059481325946,6.85070525963753,7.35008697728412,7.85001904944871
200,4,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",92.6912282989884,0.131522106833921,0.158446855073096,0.594678076970449,0.593856006225284,0.57032882422099,10,-620.020029593627,-38.5648186312691,-6.10702697156883,357.409689216993,8974.25645438119,12310.9987864155,21682.7792692244,6478.71410518942,8830.53964336548,15625.2023148064,0.1,0.1,0.1,40.39964,17.79988,7.59996,10.69992,10.44992,7.34996,7.84996
200,5,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",95.1707995206976,0.11041515939851,0.370075888566673,0.609492491621058,0.590018981274198,0.449794761872903,10,-2394.30581004633,-409.985300161433,-84.3180423271369,2379.79630490536,28537.9211027836,31650.2698316601,39061.4552504422,6317.10563851671,20204.5539043958,27540.8411436341,0.00370694902808366,0.00370694902808366,0.00370694902808366,3.35494966181082,2.49888080144733,1.22047146854297,3.09992552885137,3.25058480300792,1.04254756161811,1.3640191469277
200,6,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",93.834571265567,0.134930246195531,0.355928696233896,0.511922478967463,0.443951000365114,0.633175017102475,10,-1371.16649265203,-211.258292943778,-38.5408191019742,1296.43537576568,29541.1153999282,23061.6972154837,29305.7585541001,18922.7175408495,4670.07174555471,25426.4686034764,0.00877250910432317,0.00864426510257781,0.00903703977711461,7.73536474144399,3.04806104335118,3.67601216024413,3.41488366296295,2.89119308546003,3.42170369907418,1.52283608850505
200,7,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",93.8376382620715,0.106252613946837,0.159888516306528,0.521776014578936,0.486932663090232,0.488923673754389,10,-1073.6117609914,-65.5142124809413,-10.640276479653,48.9323398004558,11652.1886024253,-677.45588405044,10402.991786183,1318.50553141761,15374.8742595976,11499.7456029674,0.1,0.1,0.1,25.9998,10.59996,4,7.09996,6.84996,3.75,7.84996
200,8,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",89.0007762756707,0.151084696402005,0.172813427077723,0.613717530380236,0.37261592371814,0.448498883139612,10,-412.890849581777,-32.2744921744955,-5.0783209950917,222.02440881441,6041.05658931241,-6.10543928100378,1259.64940308864,-259.332719382604,-2745.53810668418,-15830.7837958173,0.035986451269794,0.001,0.0312037585568147,47.6358107464686,21.4533916555544,7.58896950452452,14.3501294312258,6.98118301342606,7.41459731213558,11.4728218025308
200,9,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",90.0542279538988,0.139402235928575,0.353784068070585,0.560221997991612,0.38460597902872,0.501190367948955,10,-1240.56441469562,-189.670764627184,-34.0968404548053,1933.17120386599,7969.48836057598,-11951.4644390432,11929.4368648025,12345.6003372935,2561.52399365415,-7866.41356878572,0.001,0.001,0.00122372907337815,7.85485938618667,6.81015932528365,0.167883327211651,3.13944423286849,2.820712990823,3.4791333487604,0.672821437791925
200,10,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",94.9385876332912,0.134699030893603,0.320317512506619,0.564781033204927,0.527722710622504,0.559218056545635,10,-1184.25755776563,-166.140518432649,-29.3374113922302,-846.689070679494,-14640.7378475019,-20233.2519600033,-103116.626570522,-191887.681473989,-54824.9415131221,-24394.6063465641,0.001,0.001,1.43291595594213,8.6365602876071,2.74179001871479,1.48852290433063,3.26004272198239,2.92211814082795,1.96467268760983,3.42576807806229
