"number_of_rows","row","prop_cases_stephensi","message","likelihood","mu0","Q0","chi","bites_Bed","bites_Indoors","delayMos","data_model_difference_1","data_model_difference_2","data_model_difference_3","data_model_difference_4","data_model_difference_5","data_model_difference_6","data_model_difference_7","data_model_difference_8","data_model_difference_9","data_model_difference_10","year1","year2","year3","year4","year5","year6","year7","year8","year9","year10"
200,1,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",91.0262644599099,0.194039191618653,0.171352637524018,0.688848831537668,0.763842915177376,0.545653842816415,10,-63.7679650193336,-15.5319164158725,-2.40233529883439,197.110570198115,3448.09648768526,2986.84316380361,343.990226589827,-6460.01649126891,-1815.3636074184,-696.052653661787,0.101223215442413,0.0995920669079934,0.101105583032477,90,42.9994157830709,18.4003764005463,28.6995656318184,17.6496065515778,14.5503071690099,18.6501683616789
200,2,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",91.1608996417842,0.1704724048477,0.154106860331027,0.783971873075714,0.58520688503915,0.273895248370394,10,-205.606615988279,-18.2994753147215,-2.84063240798585,-91.4430679961174,-3260.07499481067,-9179.00296742354,-11415.7412010528,-8989.29518436418,-8469.22264195942,-3490.13595426813,0.0997628788206266,0.100033191315695,0.100279284134768,79.9990225195222,35.7996894319912,14.7999582094148,21.4999885515758,14.0499539648642,14.5500450382852,15.0499907611416
200,3,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",90.4733422004349,0.153267100012316,0.344320942894439,0.488324946332342,0.186120659644252,0.300298954198107,10,-892.122471725885,-135.389409021923,-23.3656910328631,1112.09418524488,13325.4442070267,9362.35452088652,30882.1194853626,26151.0924977477,18956.0697091418,18899.2272223431,0.00470476130837058,0.0041732843903632,0.0041732843903632,11.7651264536059,6.41115252522266,3.71211702920282,2.99684399938468,2.87205100613154,3.33716398628682,3.99100184160798
200,4,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",95.8746717364313,0.171393033699125,0.381910974716768,0.66162200979807,0.593205281601867,0.233458855135417,10,-709.858448310984,-121.981771603496,-20.8241146673403,-1393.33287338387,491.016400070272,4909.63968155804,30879.9953958386,27014.8594783553,20376.4631310006,21550.1578748274,0.1,0.1,0.1,11.59996,7,4,3.5,3.25,3.75,4.25
200,5,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",94.0985014043846,0.0801957893721585,0.104719334112713,0.167796265793461,0.368099234624215,0.754046122909123,10,-1534.02985372361,-49.3355106093861,-7.89089738644346,-156.590490718276,-7302.70998539978,-6589.88035607382,-1519.45132576585,-21831.6978830635,-8873.90254281029,-20187.8811117955,0.100001072633383,0.0999994168430481,0.100005009278903,33.1997201343189,14.1999255055051,4.00000455480953,7.09996273818946,6.84996322809946,3.75000334200807,7.84996042772353
200,6,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",93.5370691347278,0.0884212275615013,0.130045164869283,0.450216840982764,0.779785539474805,0.620354857632218,10,-1398.07519986399,-63.4907625190637,-10.2865828069198,-769.93734461625,-12543.1823578745,-22753.9659426237,-39271.8935955461,-22114.2454918681,-16497.2052808044,-13513.0505979584,0.136216279817963,0.001,0.58088599026532,26.0490324604603,10.8412876443934,4.50790740189386,7.55322806169585,4.30491914904152,4.48280328930177,4.8634233356435
200,7,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",93.972521933731,0.103077640495318,0.15649281219265,0.370956748439049,0.174942153545209,0.771796562892137,10,-1132.30432174396,-67.0970629215813,-10.9112054947242,-155.402652233422,-11918.9070711871,-28357.0255769019,-53708.6360201766,-31651.7900035579,-24612.547787598,-22164.3973678151,0.1,0.1,0.1,22.39984,10.59996,4,7.09996,3.25,3.75,4.25
200,8,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",94.0946519073516,0.0795305702149846,0.120078903586022,0.591698139073286,0.628204875941306,0.145596389376013,10,-1636.88089240336,-66.9761548288697,-10.8833575023266,498.805212444425,-2622.56678094417,-19153.4290901508,-41650.8526436575,-26690.4261178237,-20966.0547546982,-18636.6492322884,0.1,0.1,0.1,25.9998,10.59996,4,7.09996,3.25,3.75,4.25
200,9,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",93.960507953186,0.0914334111706131,0.139303141367855,0.737709323595988,0.131888413665752,0.209741771704559,10,-1355.90845474699,-68.3385202566381,-11.124412852985,-75.8710046360416,-11597.7228463207,-28992.0275149616,-54618.7015370252,-32814.9509649652,-25412.806917154,-22960.3604498415,0.190674194055395,0.001,0.552637841398483,22.5279139664367,10.7341228054874,4.21566987692268,7.36114561994082,3.81574285556365,4.31339825551532,4.5195467279068
200,10,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",94.0096615801872,0.164007486890932,0.266401117968489,0.353246549278972,0.200039198373616,0.280582058574688,10,-479.072057469273,-63.5973103337692,-10.3112922883223,-432.137152916161,-12931.0060634178,-26476.200301873,-50950.3983402136,-28243.2785274343,-22209.8917378246,-19736.0776186561,0.103236864337488,0.0991877726574399,0.106562480681385,22.4011033210538,10.6001052408974,4.0022166799007,7.10083665552449,3.25446724223089,3.75389620626672,4.25451289305998
